#,District,2020 presidential margin,2022 U.S. House margin,Difference,Notes
73,VA-11,Biden +41.3,D+33.7,R+7.6,
74,PA-12,Biden +19.9,D+12.4,R+7.5,
75,AR-03,Trump +23.4,R+30.8,R+7.4,
75,FL-22,Biden +17.6,D+10.2,R+7.4,
75,GA-03,Trump +30.0,R+37.4,R+7.4,
75,NJ-12,Biden +34.5,D+27.1,R+7.4,
75,TX-36,Trump +31.6,R+39.0,R+7.4,
75,VA-06,Trump +21.6,R+29.0,R+7.4,
75,VA-08,Biden +56.1,D+48.7,R+7.4,
76,IN-04,Trump +29.1,R+36.4,R+7.3,
77,IL-12,Trump +42.8,R+50.0,R+7.2,
77,OH-08,Trump +22.0,R+29.2,R+7.2,
77,OH-15,Trump +6.8,R+14.0,R+7.2,
77,TN-04,Trump +37.7,R+44.9,R+7.2,
77,VA-05,Trump +8.2,R+15.4,R+7.2,
78,KY-01,Trump +42.7,R+49.8,R+7.1,
78,KY-02,Trump +36.7,R+43.8,R+7.1,
78,NY-18,Biden +8.4,D+1.3,R+7.1,
79,OH-05,Trump +26.8,R+33.8,R+7.0,
79,TX-24,Trump +12.4,R+19.4,R+7.0,
79,VA-01,Trump +6.1,R+13.1,R+7.0,
80,CA-14,Biden +45.5,D+38.6,R+6.9,
80,GA-09,Trump +37.9,R+44.8,R+6.9,
80,WI-01,Trump +2.0,R+8.9,R+6.9,
81,CA-46,Biden +30.4,D+23.6,R+6.8,
81,ID-01,Trump +38.2,R+45.0,R+6.8,
81,TN-07,Trump +15.1,R+21.9,R+6.8,
82,AR-01,Trump +40.9,R+47.6,R+6.7,
82,CA-06,Biden +18.5,D+11.8,R+6.7,
82,OH-06,Trump +28.7,R+35.4,R+6.7,
83,CT-02,Biden +11.4,D+18.0,D+6.6,
83,CA-11,Biden +74.6,D+68.0,R+6.6,
83,MN-06,Trump +17.6,R+24.2,R+6.6,
83,NJ-07,Biden +3.8,R+2.8,R+6.6,
84,DE-AL,Biden +19.0,D+12.5,R+6.5,
84,TN-02,Trump +29.3,R+35.8,R+6.5,
85,TX-28,Biden +7.0,D+13.4,D+6.4,
86,TN-03,Trump +31.9,R+38.2,R+6.3,
86,TX-27,Trump +22.5,R+28.8,R+6.3,
87,CA-49,Biden +11.4,D+5.2,R+6.2,
87,IN-05,Trump +16.0,R+22.2,R+6.2,
87,NY-19,Biden +4.6,R+1.6,R+6.2,
88,IL-04,Biden +46.4,D+40.3,R+6.1,
88,MN-07,Trump +33.2,R+39.3,R+6.1,
89,TX-29,Biden +36.8,D+42.8,D+6.0,
89,IN-07,Biden +42.4,D+36.4,R+6.0,
89,TX-34,Biden +15.5,D+9.5,R+6.0,
90,WV-02,Trump +37.0,R+31.1,D+5.9,
90,MS-02,Biden +26.1,D+20.2,R+5.9,
90,NY-21,Trump +12.4,R+18.3,R+5.9,
90,TX-21,Trump +19.7,R+25.6,R+5.9,
90,WI-05,Trump +22.9,R+28.8,R+5.9,
91,CO-04,Trump +18.5,R+24.3,R+5.8,
91,IL-02,Biden +40.0,D+34.2,R+5.8,
91,KS-01,Trump +29.6,R+35.4,R+5.8,
