"","CAND_ID","CAND_ELECTION_YR","CMTE_ID","LINKAGE_ID"
"389","H0TX31097",2022,"C00710475",237484
"390","H0TX32053",2022,"C00707059",236694
"391","H0TX32087",2022,"C00702894",239089
"392","H0TX32087",2022,"C00715235",237254
"393","H0TX34018",2022,"C00719377",237758
"394","H0TX34026",2022,"C00713321",238631
"395","H0TX35015",2022,"C00717785",238344
"396","H0TX35015",2022,"C00706614",236907
"397","H0TX35064",2022,"C00740068",243029
"398","H0UT01114",2022,"C00806356",244675
"399","H0UT01205",2022,"C00738872",237264
"400","H0UT03235",2022,"C00736397",237133
"401","H0UT04076",2022,"C00702902",237576
"402","H0UT04076",2022,"C00725853",237259
"403","H0VA02167",2022,"C00719104",238811
"404","H0VA02175",2022,"C00725267",238476
"405","H0VA02183",2022,"C00734665",238287
"406","H0VA02183",2022,"C00734699",237431
"407","H0VA03124",2022,"C00703835",237069
"408","H0VA04064",2022,"C00733485",238717
"409","H0VA05160",2022,"C00721308",237847
"410","H0VA07109",2022,"C00783233",241303
"411","H0VA07109",2022,"C00704643",237013
"412","H0VA08172",2022,"C00728899",237423
"413","H0VA09055",2022,"C00477240",235150
"414","H0VA09121",2022,"C00729020",238922
"415","H0VA09121",2022,"C00830281",246128
"416","H0VA11127",2022,"C00740449",238821
"417","H0WA01124",2022,"C00746917",237216
"418","H0WA01140",2022,"C00817924",245144
"419","H0WA02080",2022,"C00345546",234878
"420","H0WA02189",2022,"C00765180",238525
"421","H0WA03187",2022,"C00472704",235077
"422","H0WA06081",2022,"C00726513",239152
"423","H0WA06099",2022,"C00710632",237490
"424","H0WA08046",2022,"C00459099",235019
"425","H0WA08103",2022,"C00720870",238639
"426","H0WA08103",2022,"C00702944",239063
"427","H0WA08111",2022,"C00738963",237155
"428","H0WA10034",2022,"C00732826",238278
"429","H0WI03118",2022,"C00797142",242675
"430","H0WI03118",2022,"C00716258",238990
"431","H0WI03175",2022,"C00702951",237338
"432","H0WI03175",2022,"C00742007",237453
"433","H0WI03175",2022,"C00775940",245698
"434","H0WI05113",2022,"C00720011",239217
"435","H0WI06194",2022,"C00728311",237268
"436","H0WI07101",2022,"C00718635",238032
"437","H0WV01072",2022,"C00473132",235069
"438","H0WV03144",2022,"C00704635",236849
"439","H0WV03193",2022,"C00759621",237284
"440","H0WY01036",2022,"C00749598",239061
"441","H1FL20011",2022,"C00780627",240960
"442","H2AK00200",2022,"C00805580",243686
"443","H2AK00218",2022,"C00811141",244372
"444","H2AK00226",2022,"C00811323",244373
"445","H2AK00242",2022,"C00814087",245129
"446","H2AK00267",2022,"C00810986",245509
"447","H2AK00283",2022,"C00811547",245130
"448","H2AK00358",2022,"C00782342",245510
"449","H2AK00481",2022,"C00812073",245131
"450","H2AK00556",2022,"C00822163",245905
"451","H2AK01059",2022,"C00774224",240263
"452","H2AK01067",2022,"C00778613",240717
"453","H2AK01075",2022,"C00783654",241373
"454","H2AK01083",2022,"C00792341",242197
"455","H2AK01091",2022,"C00810259",244223
"456","H2AK01125",2022,"C00810663",244279
"457","H2AK01133",2022,"C00811414",244445
"458","H2AK01141",2022,"C00811190",244374
"459","H2AK01158",2022,"C00812388",244544
"460","H2AK01166",2022,"C00811299",244399
"461","H2AK01174",2022,"C00811315",244400
"462","H2AK01182",2022,"C00812057",244493
"463","H2AK01190",2022,"C00812263",244521
"464","H2AK01208",2022,"C00812719",244564
"465","H2AK01216",2022,"C00806059",244708
"466","H2AK01232",2022,"C00794313",244756
"467","H2AK01240",2022,"C00814053",244757
"468","H2AK01257",2022,"C00816199",244972
"469","H2AL01200",2022,"C00790782",242032
"470","H2AL02158",2022,"C00776674",240476
"471","H2AL02166",2022,"C00790998",242070
"472","H2AL02174",2022,"C00787572",241883
"473","H2AL02182",2022,"C00804559",243559
"474","H2AL02190",2022,"C00808667",244023
"475","H2AL03032",2022,"C00610055",235712
"476","H2AL03032",2022,"C00367862",234867
"477","H2AL03107",2022,"C00777540",240585
"478","H2AL03123",2022,"C00802041",243687
"479","H2AL03131",2022,"C00817130",245061
"480","H2AL04071",2022,"C00768713",239573
"481","H2AL04097",2022,"C00781617",244600
"482","H2AL04105",2022,"C00819706",245346
"483","H2AL05102",2022,"C00774281",240264
"484","H2AL05110",2022,"C00775700",240373
"485","H2AL05128",2022,"C00778142",240651
"486","H2AL05136",2022,"C00779371",240799
"487","H2AL05144",2022,"C00784553",244350
"488","H2AL05169",2022,"C00785683",241612
"489","H2AL05177",2022,"C00791558",242135
"490","H2AL05193",2022,"C00795989",242562
"491","H2AL05193",2022,"C00795971",242693
"492","H2AL05201",2022,"C00802272",243259
"493","H2AL05219",2022,"C00792861",243377
"494","H2AL05227",2022,"C00819086",245281
"495","H2AL07173",2022,"C00762344",238111
"496","H2AL12017",2022,"C00777615",240602
"497","H2AR01105",2022,"C00788398",241841
"498","H2AR01113",2022,"C00798892",242910
"499","H2AR01121",2022,"C00803635",243424
"500","H2AR02087",2022,"C00783407",241304
"501","H2AR02095",2022,"C00788232",241842
"502","H2AR02103",2022,"C00796037",242578
"503","H2AR02111",2022,"C00796391",242597
"504","H2AR03275",2022,"C00775163",240324
"505","H2AR03283",2022,"C00777144",240547
"506","H2AZ01339",2022,"C00770974",239964
"507","H2AZ01347",2022,"C00771758",240053
"508","H2AZ01354",2022,"C00784934",241541
"509","H2AZ01354",2022,"C00775007",245699
"510","H2AZ01354",2022,"C00773259",245555
"511","H2AZ01362",2022,"C00791715",242147
"512","H2AZ01370",2022,"C00795575",242525
"513","H2AZ01404",2022,"C00801209",244129
"514","H2AZ02311",2022,"C00773820",240203
"515","H2AZ02329",2022,"C00774927",240303
"516","H2AZ02337",2022,"C00776203",240408
"517","H2AZ02345",2022,"C00780155",240897
"518","H2AZ02352",2022,"C00785295",241568
"519","H2AZ02360",2022,"C00798645",245700
"520","H2AZ02360",2022,"C00786194",241680
"521","H2AZ02378",2022,"C00785196",241843
"522","H2AZ02394",2022,"C00789073",242231
"523","H2AZ02402",2022,"C00799239",242945
"524","H2AZ02410",2022,"C00801076",243150
"525","H2AZ02428",2022,"C00808402",244005
"526","H2AZ02436",2022,"C00818633",245242
"527","H2AZ03152",2022,"C00791046",242124
"528","H2AZ03160",2022,"C00793034",242269
"529","H2AZ03178",2022,"C00797894",242765
"530","H2AZ04184",2022,"C00769760",239806
"531","H2AZ04192",2022,"C00772186",240092
"532","H2AZ04200",2022,"C00776856",240477
"533","H2AZ04218",2022,"C00800961",243129
"534","H2AZ04226",2022,"C00808451",244024
"535","H2AZ05157",2022,"C00767004",239387
"536","H2AZ05165",2022,"C00785766",241638
"537","H2AZ05173",2022,"C00800979",243151
"538","H2AZ06213",2022,"C00768879",240232
"539","H2AZ06221",2022,"C00778464",240705
"540","H2AZ06239",2022,"C00780718",241485
"541","H2AZ06247",2022,"C00786038",241655
"542","H2AZ06254",2022,"C00786640",241721
"543","H2AZ06262",2022,"C00787127",241757
"544","H2AZ06270",2022,"C00790972",242048
"545","H2AZ06288",2022,"C00800664",243130
"546","H2AZ06296",2022,"C00799841",243010
"547","H2AZ06304",2022,"C00803171",243397
"548","H2AZ06312",2022,"C00812172",244528
"549","H2AZ06320",2022,"C00825927",245812
"550","H2AZ07070",2022,"C00374058",234863
"551","H2AZ07187",2022,"C00766402",239327
"552","H2AZ07195",2022,"C00780197",241739
"553","H2AZ08169",2022,"C00769117",239668
"554","H2AZ08177",2022,"C00799395",243198
