"","Candidate","Party.Num","State","State_Abbr","Office","District","Gender.Num","White.Num","Black.Num","Asian.Num","Latino.Num","Middle_Eastern.Num","Native_American.Num","Incumbent.Num","Election_Denier.Num","Fundraising_Total","index","full_district","Special","Winner"
"118","Monte Hodges",1,"Arkansas","AR","Representative","1",1,0,1,0,0,0,0,0,0,12950,"120","AR-1",0,0
"119","Quintessa Hathaway",1,"Arkansas","AR","Representative","2",0,0,1,0,0,0,0,0,0,0,"121","AR-2",0,0
"120","Lauren Mallett-Hays",1,"Arkansas","AR","Representative","3",0,1,0,0,0,0,0,0,0,11624,"122","AR-3",0,0
"121","John White",1,"Arkansas","AR","Representative","4",1,1,0,0,0,0,0,0,0,0,"123","AR-4",0,0
"122","Raphael Warnock",1,"Georgia","GA","Senator","0",1,0,1,0,0,0,0,1,0,35622857,"124","GA-0",0,1
"123","Wade Herring",1,"Georgia","GA","Representative","1",1,1,0,0,0,0,0,0,0,562532,"125","GA-1",0,0
"124","Sanford Bishop",1,"Georgia","GA","Representative","2",1,0,1,0,0,0,0,1,0,694626,"126","GA-2",0,1
"125","Val Almonord",1,"Georgia","GA","Representative","3",1,0,1,0,0,0,0,0,0,145,"127","GA-3",0,0
"126","Henry C. ""Hank"" Johnson Jr.",1,"Georgia","GA","Representative","4",1,0,1,0,0,0,0,1,0,36514,"128","GA-4",0,1
"127","Nikema Williams",1,"Georgia","GA","Representative","5",0,0,1,0,0,0,0,1,0,138499,"129","GA-5",0,1
"128","Bob Christian",1,"Georgia","GA","Representative","6",1,1,0,0,0,0,0,0,0,23623,"130","GA-6",0,0
"129","Lucy McBath",1,"Georgia","GA","Representative","7",0,0,1,0,0,0,0,1,0,1423129,"131","GA-7",0,1
"130","Darrius Butler",1,"Georgia","GA","Representative","8",1,0,1,0,0,0,0,0,0,0,"132","GA-8",0,0
"131","Michael ""Mike"" Ford",1,"Georgia","GA","Representative","9",1,1,0,0,0,0,0,0,0,5075,"133","GA-9",0,0
"132","Tabitha Johnson-Green",1,"Georgia","GA","Representative","10",0,0,1,0,0,0,0,0,0,1429,"134","GA-10",0,0
"133","Antonio Daza",1,"Georgia","GA","Representative","11",1,0,0,0,1,0,0,0,0,12315,"135","GA-11",0,0
"134","Elizabeth ""Liz"" Johnson",1,"Georgia","GA","Representative","12",0,0,1,0,0,0,0,0,0,62773,"136","GA-12",0,0
"135","David Scott",1,"Georgia","GA","Representative","13",1,0,1,0,0,0,0,1,0,128350,"137","GA-13",0,1
"136","Marcus Flowers",1,"Georgia","GA","Representative","14",1,0,1,0,0,0,0,0,0,2348202,"138","GA-14",0,0
"137","Melanie Ann Stansbury",1,"New Mexico","NM","Representative","1",0,1,0,0,0,0,0,1,0,481506,"139","NM-1",0,1
"138","Gabriel Vasquez",1,"New Mexico","NM","Representative","2",1,0,0,0,1,0,0,0,0,1583185,"140","NM-2",0,1
"139","Teresa Leger Fernandez",1,"New Mexico","NM","Representative","3",0,0,0,0,1,0,0,1,0,1007926,"141","NM-3",0,1
"140","Dianne Black",1,"Mississippi","MS","Representative","1",0,0,1,0,0,0,0,0,0,8869,"142","MS-1",0,0
"141","Bennie G. Thompson",1,"Mississippi","MS","Representative","2",1,0,1,0,0,0,0,1,0,265355,"143","MS-2",0,1
"142","Shuwaski A. Young",1,"Mississippi","MS","Representative","3",1,0,1,0,0,0,0,0,0,25300,"144","MS-3",0,0
"143","Johnny L. DuPree ",1,"Mississippi","MS","Representative","4",1,0,1,0,0,0,0,0,0,40509,"145","MS-4",0,0
"144","Monica Tranel",1,"Montana","MT","Representative","1",0,1,0,0,0,0,0,0,0,1595998,"146","MT-1",0,0
"145","Penny Ronning",1,"Montana","MT","Representative","2",0,1,0,0,0,0,0,0,0,62428,"147","MT-2",0,0
"146","Michael Franken",1,"Iowa","IA","Senator","0",1,1,0,0,0,0,0,0,0,3413950,"148","IA-0",0,0
"147","Christina Bohannan",1,"Iowa","IA","Representative","1",0,1,0,0,0,0,0,0,0,1342708,"149","IA-1",0,0
"148","Liz Mathis",1,"Iowa","IA","Representative","2",0,1,0,0,0,0,0,0,0,1803166,"150","IA-2",0,0
"149","Cindy Axne",1,"Iowa","IA","Representative","3",0,1,0,0,0,0,0,1,0,2064020,"151","IA-3",0,0
"150","Ryan Melton",1,"Iowa","IA","Representative","4",1,1,0,0,0,0,0,0,0,12602,"152","IA-4",0,0
"151","Donald W. Norcross",1,"New Jersey","NJ","Representative","1",1,1,0,0,0,0,0,1,0,339576,"154","NJ-1",0,1
"152","Tim Alexander",1,"New Jersey","NJ","Representative","2",1,0,1,0,0,0,0,0,0,165120,"155","NJ-2",0,0
"153","Andy Kim",1,"New Jersey","NJ","Representative","3",1,0,0,1,0,0,0,1,0,2202438,"156","NJ-3",0,1
"154","Matthew Jenkins",1,"New Jersey","NJ","Representative","4",1,1,0,0,0,0,0,0,0,19345,"157","NJ-4",0,0
"155","Josh Gottheimer",1,"New Jersey","NJ","Representative","5",1,1,0,0,0,0,0,1,0,2563606,"158","NJ-5",0,1
"156","Frank Pallone Jr.",1,"New Jersey","NJ","Representative","6",1,1,0,0,0,0,0,1,0,532442,"159","NJ-6",0,1
"157","Tom Malinowski",1,"New Jersey","NJ","Representative","7",1,1,0,0,0,0,0,1,0,3445039,"160","NJ-7",0,0
"158","Robert J. Menendez",1,"New Jersey","NJ","Representative","8",1,0,0,0,1,0,0,0,0,215876,"161","NJ-8",0,1
"159","Bill Pascrell Jr.",1,"New Jersey","NJ","Representative","9",1,1,0,0,0,0,0,1,0,262704,"162","NJ-9",0,1
"160","Donald M. Payne Jr.",1,"New Jersey","NJ","Representative","10",1,0,1,0,0,0,0,1,0,82700,"163","NJ-10",0,1
"161","Mikie Sherrill",1,"New Jersey","NJ","Representative","11",0,1,0,0,0,0,0,1,0,1746788,"164","NJ-11",0,1
"162","Bonnie Watson Coleman",1,"New Jersey","NJ","Representative","12",0,0,1,0,0,0,0,1,0,145386,"165","NJ-12",0,1
"163","Alex Padilla",1,"California","CA","Senator","0",1,0,0,0,1,0,0,1,0,3168817,"166","CA-0",0,1
"164","Max Steiner",1,"California","CA","Representative","1",1,1,0,0,0,0,0,0,0,219355,"167","CA-1",0,0
"165","Jared Huffman",1,"California","CA","Representative","2",1,1,0,0,0,0,0,1,0,151664,"168","CA-2",0,1
