"","Candidate","Last_name","Party.Num","State","State_Abbr","Office","District","Gender.Num","White.Num","Black.Num","Asian.Num","Latino.Num","Middle_Eastern.Num","Native_American.Num","Incumbent.Num","Election_Denier.Num"
"208","Jan C. Perry","PERRY",1,"California","CA","Representative","37",0,0,1,0,0,0,0,0,0
"209","Linda T. Sánchez","SANCHEZ",1,"California","CA","Representative","38",0,0,0,0,1,0,0,1,0
"210","Mark Takano","TAKANO",1,"California","CA","Representative","39",1,0,0,1,0,0,0,1,0
"211","Asif Mahmood","MAHMOOD",1,"California","CA","Representative","40",1,0,0,1,0,0,0,0,0
"212","Will Rollins","ROLLINS",1,"California","CA","Representative","41",1,1,0,0,0,0,0,0,0
"213","Robert Garcia","GARCIA",1,"California","CA","Representative","42",1,0,0,0,1,0,0,0,0
"214","Maxine Waters","WATERS",1,"California","CA","Representative","43",0,0,1,0,0,0,0,1,0
"215","Nanette Diaz Barragan","BARRAGAN",1,"California","CA","Representative","44",0,0,0,0,1,0,0,1,0
"216","Jay F. Chen","CHEN",1,"California","CA","Representative","45",1,0,0,1,0,0,0,0,0
"217","Lou Correa","CORREA",1,"California","CA","Representative","46",1,0,0,0,1,0,0,1,0
"218","Katie Porter","PORTER",1,"California","CA","Representative","47",0,1,0,0,0,0,0,1,0
"219","Stephen Houlahan","HOULAHAN",1,"California","CA","Representative","48",1,1,0,0,0,0,0,0,0
"220","Mike Levin","LEVIN",1,"California","CA","Representative","49",1,1,0,0,0,0,0,1,0
"221","Scott Peters","PETERS",1,"California","CA","Representative","50",1,1,0,0,0,0,0,1,0
"222","Sara Jacobs","JACOBS",1,"California","CA","Representative","51",0,1,0,0,0,0,0,1,0
"223","Juan Vargas","VARGAS",1,"California","CA","Representative","52",1,0,0,0,1,0,0,1,0
"224","Jennifer Lewis","LEWIS",1,"Virginia","VA","Representative","6",0,1,0,0,0,0,0,0,0
"225","Chellie Pingree","PINGREE",1,"Maine","ME","Representative","1",0,1,0,0,0,0,0,1,0
"226","Jared Golden","GOLDEN",1,"Maine","ME","Representative","2",1,1,0,0,0,0,0,1,0
"227","Catherine Cortez Masto","MASTO",1,"Nevada","NV","Senator","0",0,1,0,0,1,0,0,1,0
"228","Dina Titus","TITUS",1,"Nevada","NV","Representative","1",0,1,0,0,0,0,0,1,0
"229","Elizabeth Mercedes Krause","KRAUSE",1,"Nevada","NV","Representative","2",0,0,0,0,0,0,1,0,0
"230","Susie Lee","LEE",1,"Nevada","NV","Representative","3",0,1,0,0,0,0,0,1,0
"231","Steven A. Horsford","HORSFORD",1,"Nevada","NV","Representative","4",1,0,1,0,0,0,0,1,0
"232","Krystle Matthews","MATTHEWS",1,"South Carolina","SC","Senator","0",0,0,1,0,0,0,0,0,0
"233","Annie Andrews","ANDREWS",1,"South Carolina","SC","Representative","1",0,1,0,0,0,0,0,0,0
"234","Judd Larkins","LARKINS",1,"South Carolina","SC","Representative","2",1,1,0,0,0,0,0,0,0
"235","Ken Hill","HILL",1,"South Carolina","SC","Representative","4",1,1,0,0,0,0,0,0,0
"236","Evangeline Hundley","HUNDLEY",1,"South Carolina","SC","Representative","5",0,0,1,0,0,0,0,0,0
"237","James E. ""Jim"" Clyburn","CLYBURN",1,"South Carolina","SC","Representative","6",1,0,1,0,0,0,0,1,0
"238","Daryl W. Scott","SCOTT",1,"South Carolina","SC","Representative","7",1,0,1,0,0,0,0,0,0
"239","Katrina Christiansen","CHRISTIANSEN",1,"North Dakota","ND","Senator","0",0,1,0,0,0,0,0,0,0
"240","Mark Haugen","HAUGEN",1,"North Dakota","ND","Representative","0",1,1,0,0,0,0,0,0,0
"241","Herbert C. ""Herb"" Jones Jr.","JONES",1,"Virginia","VA","Representative","1",1,0,1,0,0,0,0,0,0
"242","Elaine G. Luria","LURIA",1,"Virginia","VA","Representative","2",0,1,0,0,0,0,0,1,0
"243","Robert C. ""Bobby"" Scott","SCOTT",1,"Virginia","VA","Representative","3",1,0,1,0,0,0,0,1,0
"244","A. Donald McEachin","MCEACHIN",1,"Virginia","VA","Representative","4",1,0,1,0,0,0,0,1,0
"245","Joshua M. Throneburg","THRONEBURG",1,"Virginia","VA","Representative","5",1,1,0,0,0,0,0,0,0
"246","Abigail A. Spanberger","SPANBERGER",1,"Virginia","VA","Representative","7",0,1,0,0,0,0,0,1,0
"247","Donald S. Beyer Jr.","BEYER",1,"Virginia","VA","Representative","8",1,1,0,0,0,0,0,1,0
"248","Jennifer T. Wexton","WEXTON",1,"Virginia","VA","Representative","10",0,1,0,0,0,0,0,1,0
"249","Gerald E. ""Gerry"" Connolly","CONNOLLY",1,"Virginia","VA","Representative","11",1,1,0,0,0,0,0,1,0
"250","Michael Bennet","BENNET",1,"Colorado","CO","Senator","0",1,0,0,0,0,0,0,1,0
"251","Diana DeGette","DEGETTE",1,"Colorado","CO","Representative","1",0,1,0,0,0,0,0,1,0
"252","Joe Neguse","NEGUSE",1,"Colorado","CO","Representative","2",1,0,1,0,0,0,0,1,0
"253","Adam Frisch","FRISCH",1,"Colorado","CO","Representative","3",1,1,0,0,0,0,0,0,0
