TBLID,GEOID,GEONAME,PROFLN,TITLE,PRF_ESTIMATE,PRF_MG_ERROR,PCT_ESTIMATE,PCT_MG_ERROR,SOURCE
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",60,Less than 9th grade,"309,413","+/-10,239",12.9,+/-0.4,
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",61,"9th to 12th grade, no diploma","179,367","+/-7,460",7.5,+/-0.3,
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",62,High school graduate (includes equivalency),"671,940","+/-14,463",28.0,+/-0.6,
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",63,"Some college, no degree","276,439","+/-8,699",11.5,+/-0.4,
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",64,Associate's degree,"280,356","+/-9,960",11.7,+/-0.4,
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",65,Bachelor's degree,"493,356","+/-12,629",20.5,+/-0.5,
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",66,Graduate or professional degree,"190,538","+/-7,054",7.9,+/-0.3,
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",66.3,,,,,,
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",67,High school graduate or higher,"1,912,629","+/-13,527",79.6,+/-0.5,
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",68,Bachelor's degree or higher,"683,894","+/-14,546",28.5,+/-0.6,
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",68.3,,,,,,
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",68.5,VETERAN STATUS,,,,,
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",69,Civilian population 18 years and over,"2,714,280","+/-1,450","2,714,280",(X),
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",70,Civilian veterans,"64,295","+/-4,070",2.4,+/-0.1,
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",70.3,,,,,,
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",70.5,DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION,,,,,
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",71,Total Civilian Noninstitutionalized Population,"3,237,924","+/-1,448","3,237,924",(X),
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",72,With a disability,"712,517","+/-12,484",22.0,+/-0.4,
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",72.3,,,,,,
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",73,Under 18 years,"545,504",+/-182,"545,504",(X),
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",74,With a disability,"42,913","+/-4,316",7.9,+/-0.8,
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",74.3,,,,,,
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",75,18 to 64 years,"1,959,901","+/-1,614","1,959,901",(X),
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",76,With a disability,"319,046","+/-11,055",16.3,+/-0.6,
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",76.3,,,,,,
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",77,65 years and over,"732,519",+/-782,"732,519",(X),
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",78,With a disability,"350,558","+/-7,435",47.9,+/-1.0,
